Model,F1 Score,Accuracy,Precision,Recall,TN,FP,FN,TP
Z-Score,0.356513222331048,0.562,0.2169249106078665,1.0,661,657,0,182
Isolation Forest,0.24113475177304963,0.786,0.21161825726141079,0.2802197802197802,1128,190,131,51
Autoencoder,0.814317673378076,0.9446666666666667,0.6867924528301886,1.0,1235,83,0,182
Elliptic Envelope,0.6254295532646048,0.8546666666666667,0.455,1.0,1100,218,0,182
Ensemble,0.7207920792079208,0.906,0.5634674922600619,1.0,1177,141,0,182
